日期,corp_wealth,cdb_wealth,wealth_ratio,wealth_diff,wealth_diff_cycle,hf_raw,hf_credit_factor,hf_mom_pct
2020-01-02,222.463000,196.148400,1.134157,26.314600,2.684936,-2.684936,0.929513,
2020-01-03,222.573000,196.086200,1.135077,26.486800,2.830374,-2.830374,0.925695,-0.410767
2020-01-06,222.729800,196.136600,1.135585,26.593200,2.910013,-2.910013,0.923604,-0.225853
2020-01-07,222.753900,196.202500,1.135327,26.551400,2.841451,-2.841451,0.925404,0.194879
2020-01-08,222.825100,196.210600,1.135643,26.614500,2.877790,-2.877790,0.924450,-0.103088
2020-01-09,222.885600,196.224000,1.135873,26.661600,2.898128,-2.898128,0.923916,-0.057757
2020-01-10,222.940700,196.370100,1.135309,26.570600,2.780367,-2.780367,0.927008,0.334613
2020-01-13,223.100000,196.410300,1.135887,26.689700,2.872705,-2.872705,0.924584,-0.261500
2020-01-14,223.144600,196.332000,1.136568,26.812600,2.968844,-2.968844,0.922060,-0.272975
2020-01-15,223.198400,196.324400,1.136886,26.874000,3.003482,-3.003482,0.921151,-0.098621
2020-01-16,223.229500,196.343400,1.136934,26.886100,2.988821,-2.988821,0.921535,0.041785
2020-01-17,223.270300,196.381600,1.136921,26.888700,2.964659,-2.964659,0.922170,0.068831
2020-01-19,223.324700,196.528800,1.136346,26.795900,2.845098,-2.845098,0.925309,0.340371
2020-01-20,223.410000,196.590600,1.136423,26.819400,2.841836,-2.841836,0.925394,0.009254
2020-01-21,223.462200,196.699500,1.136059,26.762700,2.758375,-2.758375,0.927585,0.236773
2020-01-22,223.536800,196.756600,1.136108,26.780200,2.749113,-2.749113,0.927828,0.026212
2020-01-23,223.590500,196.860700,1.135780,26.729800,2.671951,-2.671951,0.929854,0.218326
2020-02-03,224.645800,198.123100,1.133870,26.522700,2.438090,-2.438090,0.935994,0.660261
2020-02-04,224.615600,197.990500,1.134477,26.625100,2.513728,-2.513728,0.934008,-0.212149
2020-02-05,224.721500,198.029600,1.134787,26.691900,2.553767,-2.553767,0.932957,-0.112538
2020-02-06,224.782400,198.119000,1.134583,26.663400,2.498505,-2.498505,0.934407,0.155501
2020-02-07,224.876400,198.451400,1.133156,26.425000,2.233343,-2.233343,0.941369,0.744983
2020-02-10,225.067100,198.793300,1.132166,26.273800,2.055382,-2.055382,0.946041,0.496293
2020-02-11,225.102800,198.779700,1.132423,26.323100,2.077920,-2.077920,0.945449,-0.062544
2020-02-12,225.272500,198.776300,1.133297,26.496200,2.224258,-2.224258,0.941607,-0.406342
2020-02-13,225.331400,198.849200,1.133177,26.482200,2.183496,-2.183496,0.942677,0.113646
2020-02-14,225.432600,198.881100,1.133504,26.551500,2.226034,-2.226034,0.941561,-0.118464
2020-02-17,225.623000,198.782700,1.135023,26.840300,2.488073,-2.488073,0.934681,-0.730614
2020-02-18,225.704500,198.779200,1.135453,26.925300,2.546311,-2.546311,0.933152,-0.163574
2020-02-19,225.782200,198.827400,1.135569,26.954800,2.549049,-2.549049,0.933081,-0.007703
2020-02-20,225.869800,198.701100,1.136732,27.168700,2.736187,-2.736187,0.928168,-0.526519
2020-02-21,225.934200,198.749200,1.136780,27.185000,2.725725,-2.725725,0.928442,0.029591
2020-02-24,226.041400,199.034300,1.135691,27.007100,2.521062,-2.521062,0.933815,0.578701
2020-02-25,226.114000,199.075900,1.135818,27.038100,2.525300,-2.525300,0.933704,-0.011914
2020-02-26,226.195300,199.161000,1.135741,27.034300,2.494738,-2.494738,0.934506,0.085931
2020-02-27,226.235700,199.315400,1.135064,26.920300,2.353976,-2.353976,0.938202,0.395436
2020-02-28,226.309400,199.647600,1.133544,26.661800,2.068713,-2.068713,0.945691,0.798215
2020-03-02,226.417600,199.633300,1.134167,26.784300,2.164451,-2.164451,0.943177,-0.265769
2020-03-03,226.501100,199.630200,1.134603,26.870900,2.224288,-2.224288,0.941606,-0.166553
2020-03-04,226.650500,199.975600,1.133391,26.674900,2.001526,-2.001526,0.947454,0.621076
2020-03-05,226.691500,200.022700,1.133329,26.668800,1.968663,-1.968663,0.948317,0.091058
2020-03-06,226.720400,200.290200,1.131960,26.430200,1.703300,-1.703300,0.955284,0.734612
2020-03-09,226.920100,200.957200,1.129196,25.962900,1.209238,-1.209238,0.968254,1.357755
2020-03-10,226.862100,200.503800,1.131460,26.358300,1.577875,-1.577875,0.958576,-0.999497
2020-03-11,226.788500,200.469300,1.131288,26.319200,1.512012,-1.512012,0.960305,0.180379
2020-03-12,226.799000,200.414200,1.131651,26.384800,1.550848,-1.550848,0.959286,-0.106171
2020-03-13,226.578600,200.122700,1.132198,26.455900,1.595185,-1.595185,0.958122,-0.121335
2020-03-16,226.511900,200.199900,1.131429,26.312000,1.424522,-1.424522,0.962602,0.467618
2020-03-17,226.424200,200.180800,1.131098,26.243400,1.329158,-1.329158,0.965106,0.260080
2020-03-18,226.500300,200.188300,1.131436,26.312000,1.370995,-1.370995,0.964007,-0.113802
2020-03-19,226.442200,200.185400,1.131162,26.256800,1.289031,-1.289031,0.966159,0.223210
2020-03-20,226.424200,200.339300,1.130204,26.084900,1.090367,-1.090367,0.971375,0.539811
2020-03-23,226.513200,200.604600,1.129153,25.908600,0.887303,-0.887303,0.976706,0.548805
