date,沪金,布伦特原油
2018-09-20,268.200000,78.710000
2018-09-21,269.050000,78.770000
2018-09-24,269.050000,80.730000
2018-09-25,267.950000,80.890000
2018-09-26,268.350000,81.180000
2018-09-27,267.400000,81.300000
2018-09-28,264.900000,82.950000
2018-10-01,264.900000,84.950000
2018-10-02,264.900000,84.640000
2018-10-03,264.900000,86.100000
2018-10-04,264.900000,84.880000
2018-10-05,264.900000,84.110000
2018-10-08,268.650000,83.760000
2018-10-09,267.900000,84.860000
2018-10-10,267.900000,82.600000
2018-10-11,269.450000,80.360000
2018-10-12,272.850000,80.600000
2018-10-15,275.350000,80.760000
2018-10-16,275.250000,81.560000
2018-10-17,274.500000,80.360000
2018-10-18,274.750000,79.320000
2018-10-19,276.050000,80.030000
2018-10-22,275.850000,79.980000
2018-10-23,276.950000,76.240000
2018-10-24,277.150000,75.680000
2018-10-25,278.500000,76.700000
2018-10-26,278.300000,77.820000
2018-10-29,277.850000,76.870000
2018-10-30,277.250000,76.180000
2018-10-31,274.900000,74.590000
2018-11-01,275.300000,72.750000
2018-11-02,275.400000,72.610000
2018-11-05,275.600000,72.710000
2018-11-06,275.850000,71.650000
2018-11-07,275.900000,72.000000
2018-11-08,279.400000,70.960000
2018-11-09,278.700000,69.880000
2018-11-12,276.550000,68.970000
2018-11-13,275.450000,65.350000
2018-11-14,275.500000,65.860000
2018-11-15,277.050000,66.630000
2018-11-16,277.500000,67.040000
2018-11-19,278.250000,67.010000
2018-11-20,279.300000,62.440000
2018-11-21,279.000000,63.460000
2018-11-22,279.650000,62.520000
2018-11-23,279.650000,59.190000
2018-11-26,279.500000,60.410000
2018-11-27,278.900000,60.880000
2018-11-28,277.550000,58.960000
2018-11-29,279.550000,59.700000
2018-11-30,279.450000,59.150000
2018-12-03,278.350000,61.900000
2018-12-04,278.350000,61.920000
2018-12-05,278.900000,61.610000
2018-12-06,279.900000,60.310000
2018-12-07,280.250000,61.330000
2018-12-10,283.100000,59.810000
2018-12-11,282.650000,60.460000
2018-12-12,281.200000,60.180000
2018-12-13,280.800000,61.710000
2018-12-14,280.350000,60.270000
2018-12-17,280.200000,58.660000
2018-12-18,281.900000,56.080000
2018-12-19,282.550000,56.550000
2018-12-20,282.150000,54.700000
2018-12-21,284.800000,53.480000
2018-12-24,285.450000,50.490000
2018-12-25,287.100000,52.890000
2018-12-26,287.500000,55.180000
2018-12-27,286.300000,53.580000
2018-12-28,287.850000,53.060000
2019-01-02,288.300000,54.680000
2019-01-03,290.700000,55.550000
2019-01-04,290.550000,57.450000
2019-01-07,288.650000,57.570000
2019-01-08,287.250000,58.590000
2019-01-09,286.200000,61.340000
2019-01-10,286.900000,61.180000
2019-01-11,284.950000,60.530000
2019-01-14,285.050000,59.320000
2019-01-15,284.300000,60.530000
2019-01-16,284.600000,61.300000
2019-01-17,285.100000,61.150000
