日期,index_net
2015-12-09,119.018100
2015-12-10,119.013700
2015-12-11,119.098500
2015-12-14,118.857300
2015-12-15,118.923200
2015-12-16,119.046300
2015-12-17,119.157200
2015-12-18,119.423900
2015-12-21,119.796700
2015-12-22,119.965800
2015-12-23,120.017800
2015-12-24,120.296000
2015-12-25,120.262800
2015-12-28,120.346200
2015-12-29,120.290400
2015-12-30,120.273200
2015-12-31,120.287400
2016-01-04,120.071500
2016-01-05,119.866600
2016-01-06,119.975000
2016-01-07,120.164000
2016-01-08,120.302200
2016-01-11,120.420000
2016-01-12,120.671300
2016-01-13,121.132500
2016-01-14,120.966000
2016-01-15,121.000600
2016-01-18,120.808700
2016-01-19,120.618800
2016-01-20,120.477700
2016-01-21,120.590000
2016-01-22,120.705400
2016-01-25,120.226600
2016-01-26,120.191100
2016-01-27,119.946500
2016-01-28,119.992100
2016-01-29,120.243400
2016-02-01,120.316500
2016-02-02,120.077900
2016-02-03,119.999900
2016-02-04,120.226900
2016-02-05,120.231000
2016-02-06,120.221200
2016-02-14,120.482700
2016-02-15,120.354500
2016-02-16,120.317200
2016-02-17,120.350500
2016-02-18,120.374300
2016-02-19,120.435100
2016-02-22,120.411900
2016-02-23,120.423200
2016-02-24,120.346500
2016-02-25,120.229000
2016-02-26,120.297600
2016-02-29,120.343900
2016-03-01,120.484700
2016-03-02,120.511400
2016-03-03,120.492700
2016-03-04,120.538000
2016-03-07,120.321500
2016-03-08,120.301400
2016-03-09,120.505100
2016-03-10,120.671000
2016-03-11,120.692800
2016-03-14,120.730900
2016-03-15,120.812300
2016-03-16,121.031400
2016-03-17,121.081500
2016-03-18,121.113600
2016-03-21,121.140600
2016-03-22,121.135400
2016-03-23,121.188000
2016-03-24,121.222800
2016-03-25,121.338400
2016-03-28,121.305200
2016-03-29,121.333700
2016-03-30,121.417800
2016-03-31,121.469000
2016-04-01,121.447100
2016-04-05,121.353700
2016-04-06,121.307700
2016-04-07,121.153300
2016-04-08,121.120000
2016-04-11,121.077800
2016-04-12,121.078100
2016-04-13,120.876900
2016-04-14,120.795400
2016-04-15,120.842500
2016-04-18,120.906500
2016-04-19,120.880300
