date,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2000-08-31,,,,,0.409362,,
2000-09-01,,,,,-1.053487,,
2000-09-05,,,,,0.884611,,
2000-09-06,,,,,1.509762,,
2000-09-07,,,,,-0.412698,,
2000-09-08,,,,,0.605286,,
2000-09-11,,,,,0.896795,,
2000-09-12,,,,,-0.173510,,
2000-09-13,,,,,0.147497,,
2000-09-14,,,,,-0.156175,,
2000-09-15,,,,,0.675033,,
2000-09-18,,,,,0.051736,,
2000-09-19,,,,,0.094784,,
2000-09-20,,,,,0.258045,,
2000-09-21,,,,,-0.984130,,
2000-09-22,,,,,-1.494586,,
2000-09-25,,,,,0.439329,,
2000-09-26,,,,,-0.792183,,
2000-09-27,,,,,-0.044198,,
2000-09-28,,,,,0.176660,,
2000-09-29,,,,,-0.052964,,
2000-10-02,,,,,0.475689,,
2000-10-03,,,,,0.377177,,
2000-10-04,,,,,-0.043787,,
2000-10-05,,,,,0.498013,,
2000-10-06,,,,,0.095823,,
2000-10-09,,,,,-0.034834,,
2000-10-10,,,,,-0.392719,,
2000-10-11,,,,,0.113609,,
2000-10-12,,,,,0.348767,,
2000-10-13,,,,,0.840743,,
2000-10-16,,,,,0.456404,,
2000-10-17,,,,,-0.430516,,
2000-10-18,,,,,1.234904,,
2000-10-19,,,,,-0.332949,,
2000-10-20,,,,,0.187956,,
2000-10-23,,,,,0.323815,,
2000-10-24,,,,,-0.102148,,
2000-10-25,,,,,0.907132,,
2000-10-26,,,,,0.008441,,
2000-10-27,,,,,-0.941124,,
2000-10-30,,,,,-0.119331,,
2000-10-31,,,,,-0.513039,,
2000-11-01,,,,,-0.938816,,
2000-11-02,,,,,0.043261,,
2000-11-03,,,,,-0.555123,,
2000-11-06,,,,,0.624298,,
2000-11-07,,,,,-0.147057,,
2000-11-08,,,,,0.612736,,
2000-11-09,,,,,-0.768676,,
2000-11-10,,,,,0.389396,,
2000-11-13,,,,,-0.077761,,
2000-11-14,,,,,0.448435,,
2000-11-15,,,,,0.111792,,
2000-11-16,,,,,0.497259,,
2000-11-17,,,,,0.324452,,
2000-11-20,,,,,0.034092,,
2000-11-21,,,,,0.509988,,
2000-11-22,,,,,-0.084817,,
2000-11-23,,,,,0.203440,,
2000-11-24,,,,,0.329718,,
2000-11-27,,,,,-1.171594,,
2000-11-28,,,,,-0.445050,,
2000-11-29,,,,,0.025729,,
2000-11-30,,,,,-1.181815,,
2000-12-01,,,,,-0.443532,,
2000-12-04,,,,,-0.893023,,
2000-12-05,,,,,0.666145,,
2000-12-06,,,,,-1.018538,,
2000-12-07,,,,,0.202780,,
2000-12-08,,,,,0.448177,,
2000-12-11,,,,,0.210211,,
2000-12-12,,,,,-0.026252,,
2000-12-13,,,,,0.393062,,
2000-12-14,,,,,-1.166221,,
2000-12-15,,,,,-0.424249,,
2000-12-18,,,,,0.150461,,
2000-12-19,,,,,0.123740,,
2000-12-20,,,,,-1.101351,,
2000-12-21,,,,,-0.411670,,
2000-12-22,,,,,-0.620703,,
2000-12-26,,,,,-0.461270,,
2000-12-27,,,,,0.009067,,
2000-12-28,,,,,0.054370,,
2000-12-29,,,,,-0.745660,,
2001-01-02,,,,,-0.723679,,
2001-01-03,,,,,1.278908,,
2001-01-04,,,,,-1.242139,,
2001-01-05,,,,,-0.359067,,
2001-01-08,,,,,0.405011,,
2001-01-09,,,,,0.604449,,
2001-01-10,,,,,0.309968,,
2001-01-11,,,,,-0.776720,,
2001-01-12,,,,,0.320556,,
2001-01-15,,,,,0.556241,,
2001-01-16,,,,,0.127226,,
2001-01-17,,,,,0.633713,,
2001-01-18,,,,,-0.788222,,
2001-01-19,,,,,0.652769,,
2001-01-22,,,,,-0.380268,,
2001-01-23,,,,,0.000000,,
2001-01-24,,,,,1.297785,,
2001-01-25,,,,,-0.062698,,
2001-01-26,,,,,-0.134489,,
2001-01-29,,,,,0.277739,,
2001-01-30,,,,,-0.709313,,
2001-01-31,,,,,-0.415356,,
2001-02-01,,,,,-0.781177,,
2001-02-02,,,,,0.600053,,
2001-02-05,,,,,-0.390538,,
2001-02-06,,,,,0.797610,,
2001-02-07,,,,,0.108276,,
2001-02-08,,,,,1.049571,,
2001-02-09,,,,,-0.483050,,
2001-02-12,,,,,-0.296345,,
2001-02-13,,,,,0.690119,,
2001-02-14,,,,,0.071430,,
